Timestamp,AccX,AccY,AccZ
36:12.0,0.020095825,-0.143386841,-1.061035156
36:12.0,-0.013671875,-0.15222168,-1.036697388
36:12.0,-0.045669556,-0.163391113,-0.985839844
36:12.0,-0.066589355,-0.162536621,-0.964950562
36:12.0,-0.069229126,-0.140441895,-0.950302124
36:12.0,-0.069229126,-0.140441895,-0.950302124
36:12.1,-0.042938232,-0.132843018,-0.96333313
36:12.1,-0.001464844,-0.135681152,-0.999252319
36:12.1,-0.001464844,-0.135681152,-0.999252319
36:12.1,-0.002853394,-0.163085938,-0.994949341
36:12.1,-0.058563232,-0.219070435,-1.014907837
36:12.2,-0.048934937,-0.213012695,-1.014266968
36:12.2,0.002075195,-0.19354248,-0.96836853
36:12.2,0.002075195,-0.19354248,-0.96836853
36:12.2,0.00112915,-0.172851563,-1.024902344
36:12.2,-0.001159668,-0.165420532,-1.030166626
36:12.2,-0.001159668,-0.165420532,-1.030166626
36:12.3,-0.018707275,-0.171600342,-0.979019165
36:12.3,-0.032287598,-0.177536011,-0.960220337
36:12.3,-0.034088135,-0.181289673,-0.971206665
36:12.3,-0.025054932,-0.180755615,-1.00239563
36:12.3,-0.018325806,-0.184906006,-1.022384644
36:12.3,-0.019104004,-0.194381714,-1.02015686
36:12.4,-0.01385498,-0.206298828,-1.016967773
36:12.4,0.009140015,-0.205810547,-1.029083252
36:12.4,0.012649536,-0.211853027,-1.012908936
36:12.4,0.004852295,-0.212310791,-1.005508423
36:12.4,-0.006240845,-0.192672729,-1.026245117
36:12.4,-0.005462646,-0.179580688,-1.064041138
36:12.5,0.006988525,-0.155532837,-1.117156982
36:12.5,0.023254395,-0.150588989,-1.121002197
36:12.5,0.0362854,-0.163574219,-1.080627441
36:12.5,0.038925171,-0.174819946,-1.054702759
36:12.5,0.021560669,-0.175018311,-1.073181152
36:12.5,-0.014068604,-0.162414551,-1.126708984
36:12.6,-0.040847778,-0.110092163,-1.205978394
36:12.6,-0.027923584,-0.040771484,-1.284408569
36:12.6,0.024078369,0.022201538,-1.33555603
36:12.6,0.072647095,0.06262207,-1.315032959
36:12.6,0.093460083,0.074401855,-1.21762085
36:12.6,0.081222534,0.053619385,-1.10975647
36:12.7,0.05708313,0.025802612,-1.046936035
36:12.7,0.035598755,0.004516602,-1.024978638
36:12.7,0.018554688,-0.003433228,-0.998855591
36:12.7,0.010955811,-0.021270752,-0.944992065
36:12.7,0.007904053,-0.032043457,-0.914245605
36:12.7,0.014709473,-0.039932251,-0.922668457
36:12.8,0.019882202,-0.042999268,-0.928787231
36:12.8,0.039489746,-0.045150757,-0.93119812
36:12.8,0.062591553,-0.053634644,-0.911346436
36:12.8,0.099594116,-0.0912323,-0.85017395
36:12.8,0.099594116,-0.0912323,-0.85017395
36:12.8,0.10925293,-0.100997925,-0.846878052
36:12.9,0.099319458,-0.119110107,-0.866516113
36:12.9,0.099319458,-0.119110107,-0.866516113
36:12.9,0.084533691,-0.124404907,-0.879302979
36:12.9,0.073577881,-0.14680481,-0.83807373
36:12.9,0.073577881,-0.14680481,-0.83807373
36:12.9,0.078735352,-0.152450562,-0.911773682
36:13.0,0.087463379,-0.159561157,-0.937179565
36:13.0,0.087463379,-0.159561157,-0.937179565
36:13.0,0.074615479,-0.158920288,-0.975189209
36:13.0,0.082901001,-0.158493042,-0.99281311
36:13.0,0.082901001,-0.158493042,-0.99281311
36:13.0,0.113769531,-0.176773071,-1.028778076
36:13.1,0.122497559,-0.17930603,-1.079406738
36:13.1,0.094802856,-0.181030273,-1.13772583
36:13.1,0.037841797,-0.171295166,-1.203048706
36:13.1,0.037841797,-0.171295166,-1.203048706
36:13.1,-0.009277344,-0.14654541,-1.224838257
36:13.1,0.00604248,-0.149032593,-1.143844604
36:13.2,0.00604248,-0.149032593,-1.143844604
36:13.2,-0.00869751,-0.139556885,-1.145889282
36:13.2,-0.030944824,-0.095245361,-1.212509155
36:13.2,-0.023117065,-0.049972534,-1.261978149
36:13.2,-0.01171875,-0.017272949,-1.276519775
36:13.2,-0.006454468,-0.016220093,-1.228286743
36:13.3,0.003372192,-0.031143188,-1.125808716
36:13.3,-0.006744385,-0.041809082,-1.030975342
36:13.3,-0.03062439,-0.042098999,-0.969284058
36:13.3,-0.051879883,-0.037765503,-0.968200684
36:13.3,-0.063919067,-0.023010254,-0.997085571
36:13.3,-0.062179565,-0.023849487,-0.992996216
36:13.4,-0.069793701,-0.040893555,-0.95362854
36:13.4,-0.077270508,-0.062332153,-0.905670166
36:13.4,-0.069564819,-0.080368042,-0.861434937
36:13.4,-0.044372559,-0.088546753,-0.848144531
36:13.4,-0.030105591,-0.083450317,-0.841018677
36:13.4,-0.025436401,-0.079666138,-0.825592041
36:13.5,-0.028366089,-0.084030151,-0.810348511
36:13.5,-0.026763916,-0.094055176,-0.78805542
36:13.5,-0.01725769,-0.110229492,-0.781082153
36:13.5,-0.022247314,-0.121795654,-0.805419922
36:13.5,-0.031738281,-0.12979126,-0.829177856
36:13.5,-0.037261963,-0.135803223,-0.84387207
36:13.6,-0.033309937,-0.144760132,-0.849227905
36:13.6,-0.01763916,-0.158935547,-0.861740112
36:13.6,0.014450073,-0.160934448,-0.998977661
36:13.6,0.014450073,-0.160934448,-0.998977661
36:13.6,0.030456543,-0.171447754,-1.044067383
36:13.6,0.034881592,-0.223861694,-1.039138794
36:13.7,0.034881592,-0.223861694,-1.039138794
36:13.7,0.044281006,-0.234939575,-1.073074341
36:13.7,0.037475586,-0.22038269,-1.137268066
36:13.7,0.008239746,-0.188995361,-1.202484131
36:13.7,-0.004425049,-0.152328491,-1.294677734
36:13.7,-0.004425049,-0.152328491,-1.294677734
36:13.8,0.00843811,-0.145019531,-1.262619019
36:13.8,0.014526367,-0.184936523,-1.13381958
36:13.8,0.014526367,-0.184936523,-1.13381958
36:13.8,7.63E-05,-0.180145264,-1.141448975
36:13.8,-0.02331543,-0.006729126,-1.281387329
36:13.8,-0.02331543,-0.006729126,-1.281387329
36:13.9,0.063934326,0.063949585,-1.177810669
36:13.9,0.075698853,0.029708862,-1.037109375
36:13.9,0.075698853,0.029708862,-1.037109375
36:13.9,0.026138306,-0.063262939,-0.853118896
36:13.9,0.016586304,-0.080734253,-0.850860596
36:13.9,0.016586304,-0.080734253,-0.850860596
36:14.0,0.010650635,-0.060150146,-0.928222656
36:14.0,0.01171875,-0.052856445,-0.941329956
36:14.0,0.026657104,-0.057098389,-0.931381226
36:14.0,0.045349121,-0.070358276,-0.885040283
36:14.0,0.062835693,-0.092407227,-0.839889526
36:14.0,0.069564819,-0.112548828,-0.829879761
36:14.1,0.072143555,-0.126876831,-0.842391968
36:14.1,0.067214966,-0.127090454,-0.836456299
36:14.1,0.06098938,-0.132415771,-0.847427368
36:14.1,0.040374756,-0.127883911,-0.881011963
36:14.1,0.028137207,-0.133773804,-0.909408569
36:14.1,0.026031494,-0.1431427,-0.905654907
36:14.2,0.034637451,-0.154708862,-0.898193359
36:14.2,0.044372559,-0.163619995,-0.929275513
36:14.2,0.053512573,-0.165802002,-0.998184204
36:14.2,0.059494019,-0.162078857,-1.047637939
36:14.2,0.049530029,-0.160964966,-1.069564819
36:14.2,0.031188965,-0.164093018,-1.080551147
36:14.3,0.022003174,-0.163864136,-1.116104126
36:14.3,0.047927856,-0.152832031,-1.166915894
36:14.3,0.066970825,-0.136444092,-1.221862793
36:14.3,0.052017212,-0.124404907,-1.25328064
36:14.3,0.023300171,-0.117034912,-1.234069824
36:14.3,0.00718689,-0.135742188,-1.178527832
36:14.4,-0.015182495,-0.160842896,-1.116699219
36:14.4,-0.02973938,-0.157699585,-1.086471558
36:14.4,-0.035263062,-0.158538818,-1.10446167
36:14.4,-0.06652832,-0.137771606,-1.137161255
36:14.4,-0.06652832,-0.137771606,-1.137161255
36:14.4,-0.070907593,-0.055633545,-1.19833374
36:14.5,-0.038986206,-0.027618408,-1.201019287
36:14.5,0.000396729,-0.02166748,-1.152786255
36:14.5,0.007019043,-0.018798828,-1.084091187
36:14.5,-0.023498535,-0.040298462,-0.922210693
36:14.5,-0.023498535,-0.040298462,-0.922210693
36:14.5,-0.027923584,-0.05039978,-0.891693115
36:14.6,-0.036865234,-0.070739746,-0.894699097
36:14.6,-0.036865234,-0.070739746,-0.894699097
36:14.6,-0.054046631,-0.082046509,-0.88293457
36:14.6,-0.071655273,-0.106216431,-0.856918335
36:14.6,-0.071655273,-0.106216431,-0.856918335
36:14.6,-0.046081543,-0.133041382,-0.822677612
36:14.7,-0.047210693,-0.141021729,-0.808761597
36:14.7,-0.047210693,-0.141021729,-0.808761597
36:14.7,-0.047698975,-0.138473511,-0.799438477
36:14.7,-0.053817749,-0.136825562,-0.861419678
36:14.7,-0.053817749,-0.136825562,-0.861419678
36:14.7,-0.063323975,-0.132888794,-0.916976929
36:14.8,-0.046524048,-0.134002686,-0.908584595
36:14.8,-0.014968872,-0.131881714,-0.921295166
36:14.8,0.022583008,-0.141174316,-0.963531494
36:14.8,0.019195557,-0.163314819,-1.007736206
36:14.8,-0.020401001,-0.181503296,-1.027694702
36:14.8,-0.055282593,-0.195022583,-1.025253296
36:14.9,-0.084732056,-0.196456909,-1.035003662
36:14.9,-0.056945801,-0.191360474,-1.049118042
36:14.9,-0.020706177,-0.17515564,-1.096298218
36:14.9,0.003097534,-0.167068481,-1.142333984
36:14.9,0.001495361,-0.155548096,-1.168762207
36:14.9,-0.029098511,-0.147903442,-1.187286377
36:15.0,-0.051467896,-0.157043457,-1.184875488
36:15.0,-0.021942139,-0.180435181,-1.119552612
36:15.0,0.027542114,-0.198348999,-1.085739136
36:15.0,0.021636963,-0.167358398,-1.115219116
36:15.0,-0.047363281,-0.084945679,-1.284484863
36:15.0,-0.080886841,-0.002807617,-1.432998657
36:15.1,-0.074905396,0.091140747,-1.436981201
36:15.1,0.000900269,0.07069397,-1.290908813
36:15.1,0.006729126,0.031997681,-1.082977295
36:15.1,-0.025177002,-0.022354126,-0.947387695
36:15.1,-0.078536987,-0.047393799,-0.920822144
36:15.1,-0.114196777,-0.022842407,-0.959701538
36:15.2,-0.109375,0.014434814,-0.977172852
36:15.2,-0.07875061,0.043624878,-0.973297119
36:15.2,-0.042755127,0.063049316,-0.955825806
36:15.2,-0.014160156,0.062179565,-0.923065186
36:15.2,-0.017120361,0.054901123,-0.885253906
36:15.2,-0.035064697,0.046432495,-0.884765625
36:15.3,-0.056106567,0.057983398,-0.894332886
36:15.3,-0.079788208,0.070022583,-0.918121338
36:15.3,-0.072067261,0.104156494,-0.982330322
36:15.3,-0.072067261,0.104156494,-0.982330322
36:15.3,-0.057800293,0.114242554,-1.011917114
36:15.3,-0.040679932,0.104064941,-0.97946167
36:15.4,-0.040679932,0.104064941,-0.97946167
36:15.4,-0.020843506,0.072875977,-0.938919067
36:15.4,0.014511108,0.051940918,-0.999572754
36:15.4,0.014511108,0.051940918,-0.999572754
36:15.4,0.076751709,0.051330566,-1.018539429
36:15.4,0.076751709,0.051330566,-1.018539429
36:15.5,0.093719482,0.036682129,-1.027404785
36:15.5,0.057556152,0.011520386,-1.097610474
36:15.5,0.057525635,0.014541626,-1.123382568
36:15.5,0.057525635,0.014541626,-1.123382568
36:15.5,0.079833984,0.032608032,-1.090133667
36:15.5,0.06451416,0.045211792,-1.068054199
36:15.6,0.04234314,0.046829224,-1.030410767
36:15.6,0.040603638,0.029556274,-0.960327148
36:15.6,0.02571106,-0.005172729,-0.866729736
36:15.6,-0.011169434,-0.00843811,-0.830795288
36:15.6,-0.067153931,0.004150391,-0.983810425
36:15.6,-0.067153931,0.004150391,-0.983810425
36:15.7,-0.031326294,0.173950195,-1.327026367
36:15.7,0.043304443,0.217773438,-1.320877075
36:15.7,0.056900024,0.217788696,-1.205123901
36:15.7,0.034301758,0.175262451,-1.082748413
36:15.7,-0.006896973,0.138671875,-1.039428711
36:15.7,-0.043655396,0.113830566,-1.019104004
36:15.8,-0.05279541,0.111358643,-1.005599976
36:15.8,-0.056411743,0.124206543,-1.02041626
36:15.8,-0.059753418,0.13369751,-1.042984009
36:15.8,-0.071594238,0.133483887,-1.045593262
36:15.8,-0.084899902,0.121246338,-1.011138916
36:15.8,-0.090744019,0.113204956,-0.968078613
36:15.9,-0.069229126,0.109512329,-0.957168579
36:15.9,-0.023620605,0.111938477,-0.982162476
36:15.9,0.000442505,0.123321533,-1.020477295
36:15.9,0.005462646,0.123718262,-1.048690796
36:15.9,0.00642395,0.112792969,-1.049591064
36:16.0,0.017562866,0.079589844,-1.023223877
36:16.0,0.038299561,0.068634033,-1.028381348
36:16.0,0.05847168,0.060348511,-1.035964966
36:16.0,0.073852539,0.042877197,-1.00730896
36:16.0,0.077301025,0.009765625,-0.941360474
36:16.0,0.070770264,0.001998901,-0.938812256
36:16.1,0.0806427,-0.005020142,-0.962493896
36:16.1,0.111358643,-0.014648438,-0.979660034
36:16.1,0.148422241,-0.031143188,-0.965270996
36:16.1,0.166244507,-0.051330566,-0.95980835
36:16.1,0.144256592,-0.069381714,-0.998352051
36:16.1,0.125289917,-0.090087891,-1.032897949
36:16.2,0.130233765,-0.102279663,-1.043792725
36:16.2,0.13899231,-0.095474243,-1.06817627
36:16.2,0.12437439,-0.082244873,-1.09954834
36:16.2,0.105438232,-0.069396973,-1.125457764
36:16.2,0.105834961,-0.048522949,-1.127761841
36:16.2,0.103149414,-0.038833618,-1.143280029
36:16.3,0.123947144,-0.031158447,-1.135543823
36:16.3,0.157577515,-0.047302246,-1.034683228
36:16.3,0.182235718,-0.081466675,-0.92048645
36:16.3,0.185684204,-0.093170166,-0.860961914
36:16.3,0.167800903,-0.099990845,-0.892166138
36:16.3,0.164123535,-0.101104736,-0.959991455
36:16.4,0.177200317,-0.10017395,-0.992660522
36:16.4,0.198760986,-0.123458862,-0.962219238
36:16.4,0.222076416,-0.155303955,-0.924728394
36:16.4,0.251449585,-0.174621582,-0.955322266
36:16.4,0.264068604,-0.172409058,-1.020523071
