Timestamp,GyroX,GyroY,GyroZ
36:12.0,0.028601285,-0.440232512,-0.064801634
36:12.0,0.019471702,-0.40761092,-0.086176431
36:12.0,-0.070432621,-0.338400955,-0.137470778
36:12.0,-0.156878298,-0.238930557,-0.190870353
36:12.0,-0.236369928,-0.071432638,-0.232408209
36:12.0,-0.298064718,0.092478269,-0.231120305
36:12.1,-0.294419116,0.15496242,-0.177501018
36:12.1,-0.230594597,0.125833829,-0.079033034
36:12.1,-0.178838458,0.043890759,0.00223892
36:12.1,-0.161681575,-0.027805799,0.038555648
36:12.1,-0.173538235,-0.066424298,-0.012890499
36:12.2,-0.132180674,-0.058954397,-0.086780702
36:12.2,-0.187215697,0.024939172,-0.10701034
36:12.2,-0.238590205,0.062091334,-0.078038876
36:12.2,-0.189937714,0.079968869,-0.067319919
36:12.2,-0.101298392,0.092007422,-0.044838312
36:12.2,-0.02714853,0.02412025,-0.016026637
36:12.3,-0.010878214,-0.037700507,-0.012894227
36:12.3,-0.076209284,-0.03700489,-0.030011429
36:12.3,-0.152735484,0.005976666,-0.046002912
36:12.3,-0.186142177,0.044097953,-0.032026643
36:12.3,-0.152175422,0.076070267,0.00548478
36:12.3,-0.111918546,0.10472881,0.045132325
36:12.4,-0.086530365,0.120580744,0.077271619
36:12.4,0.034475419,0.006542055,0.174550236
36:12.4,0.034475419,0.006542055,0.174550236
36:12.4,0.019478893,-0.007554855,0.219512651
36:12.4,-0.007888549,0.002356631,0.240948701
36:12.4,-0.01725542,0.018610702,0.25596307
36:12.5,0.041024399,0.05790378,0.297761117
36:12.5,0.169379176,0.150549029,0.353529308
36:12.5,0.22366372,0.217916618,0.416780183
36:12.5,0.040847298,0.193417134,0.490683436
36:12.5,0.040847298,0.193417134,0.490683436
36:12.5,-0.098643487,0.15166729,0.446760187
36:12.6,-0.246339471,0.203712915,0.228404147
36:12.6,-0.246339471,0.203712915,0.228404147
36:12.6,-0.1368713,0.174694579,0.189790974
36:12.6,0.275354345,0.099713545,0.369504014
36:12.6,0.275354345,0.099713545,0.369504014
36:12.6,0.358909959,0.280919553,0.565675123
36:12.7,0.413242174,0.238056774,0.605231055
36:12.7,0.413242174,0.238056774,0.605231055
36:12.7,0.5104377,-0.109417305,0.440937185
36:12.7,0.392609067,-0.099320729,0.362805098
36:12.7,0.392609067,-0.099320729,0.362805098
36:12.7,0.229921616,0.052141232,0.203472698
36:12.8,0.216684906,0.088188449,0.146764677
36:12.8,0.240897302,0.076195436,0.112476478
36:12.8,0.238805389,0.076245503,0.104981011
36:12.8,0.208179036,0.073260366,0.113551596
