Timestamp,MagX,MagY,MagZ
36:12.0,34.12013245,24.32292175,-74.36068726
36:12.0,33.88699341,24.29127502,-74.37454224
36:12.0,33.5308075,24.28410339,-74.31611633
36:12.0,33.34594727,24.32080078,-74.24674988
36:12.0,33.34594727,24.32080078,-74.24674988
36:12.0,33.38070679,24.4697113,-74.08320618
36:12.1,33.35037231,24.63047791,-74.31303406
36:12.1,33.01849365,25.16235352,-74.23323059
36:12.1,33.26519775,25.1134491,-74.29968262
36:12.1,33.08293152,25.15039063,-73.91792297
36:12.1,33.42359924,25.2379303,-74.13032532
36:12.2,33.21884155,25.04528809,-74.14863586
36:12.2,33.15765381,25.05755615,-74.07344055
36:12.2,33.17430115,25.28657532,-74.37626648
36:12.2,33.03840637,25.39167786,-74.14555359
36:12.2,33.02485657,25.472229,-74.06523132
36:12.2,33.02485657,25.472229,-74.06523132
36:12.3,33.17494202,25.28663635,-74.29815674
36:12.3,32.95732117,25.17463684,-74.15803528
36:12.3,32.92956543,25.3356781,-74.07550049
36:12.3,33.05323792,25.31124878,-74.06968689
36:12.3,32.89611816,25.18690491,-74.08285522
36:12.3,32.89611816,25.18690491,-74.08285522
36:12.4,33.06303406,24.92106628,-74.00563049
36:12.4,33.15260315,24.74780273,-74.08525085
36:12.4,33.01473999,24.85272217,-74.08883667
36:12.4,32.97085571,25.09405518,-74.23835754
36:12.4,33.11851501,24.59898376,-74.17071533
36:12.4,33.4078064,24.30859375,-74.24383545
36:12.5,33.4078064,24.30859375,-74.24383545
36:12.5,33.5096283,24.05464172,-74.55999756
36:12.5,33.86138916,23.75210571,-74.55212402
36:12.5,33.90837097,23.82032776,-74.62507629
36:12.5,34.06108093,23.63499451,-74.54562378
36:12.5,34.44630432,23.48123169,-74.53039551
36:12.6,34.44630432,23.48123169,-74.53039551
36:12.6,34.35035706,23.34461975,-74.61875916
36:12.6,34.75172424,23.11054993,-74.37147522
36:12.6,34.60749817,22.90559387,-74.5430603
36:12.6,34.74472046,22.80058289,-74.61755371
36:12.6,35.12486267,22.33706665,-74.61413574
36:12.7,35.12486267,22.33706665,-74.61413574
36:12.7,35.60179138,21.30987549,-74.93869019
36:12.7,35.6146698,21.22924805,-75.09709167
36:12.7,35.639328,20.75865173,-74.95715332
36:12.7,35.75532532,20.42420959,-75.27554321
36:12.7,35.67425537,20.20713806,-75.28804016
36:12.8,35.8618927,19.4703064,-75.53941345
36:12.8,35.8618927,19.4703064,-75.53941345
36:12.8,35.67637634,19.50694275,-75.54814148
36:12.8,35.82339478,19.01176453,-75.55859375
36:12.8,35.74604797,19.10435486,-75.71546936
36:12.8,35.91168213,18.83840942,-75.79441833
36:12.9,35.85897827,18.46037292,-75.81135559
36:12.9,35.85897827,18.46037292,-75.81135559
36:12.9,35.60722351,18.19950867,-75.75672913
36:12.9,35.68455505,18.10693359,-75.599823
36:12.9,35.54475403,18.21165466,-75.83772278
36:12.9,35.54669189,18.21183777,-75.60342407
36:13.0,35.40184021,18.00680542,-75.8531189
36:13.0,35.40184021,18.00680542,-75.8531189
36:13.0,35.44767761,17.76567078,-75.46929932
36:13.0,35.18301392,17.5854187,-75.25624084
36:13.0,35.00125122,17.93170166,-75.40937805
36:13.0,34.95362854,17.86341858,-75.41448975
36:13.1,34.56402588,17.70747375,-75.3634491
36:13.1,34.37915039,17.74415588,-75.29406738
36:13.1,34.37915039,17.74415588,-75.29406738
36:13.1,34.25106812,17.45887756,-75.2335968
36:13.1,33.85360718,17.69334412,-75.01231384
36:13.1,33.85424805,17.69340515,-74.9342041
36:13.2,33.76535034,17.86672974,-74.776474
36:13.2,33.71705627,17.79837036,-74.85971069
36:13.2,33.71705627,17.79837036,-74.85971069
36:13.2,33.73190308,17.71795654,-74.78382874
36:13.2,33.58308411,17.90368652,-74.39471436
36:13.2,33.61210632,17.74276733,-74.32106018
36:13.3,33.74803162,17.63764954,-74.55175781
36:13.3,33.64768982,17.19132996,-74.57383728
36:13.3,33.76890564,16.85742188,-74.2674408
36:13.3,33.76890564,16.85742188,-74.2674408
36:13.3,33.48683167,16.75735474,-74.44264221
36:13.3,33.20474243,16.6572876,-74.61781311
36:13.4,33.06314087,16.45257568,-74.47703552
36:13.4,33.11485291,15.82086182,-74.49772644
36:13.4,33.24635315,15.40605164,-74.66213989
36:13.4,33.24635315,15.40605164,-74.66213989
36:13.4,33.29989624,15.08377075,-75.06152344
36:13.4,33.49713135,14.65715027,-74.75445557
36:13.5,33.43334961,14.66915894,-74.99163818
36:13.5,33.2550354,14.31535339,-75.248703
36:13.5,33.19889832,14.63739014,-75.16171265
36:13.5,33.19889832,14.63739014,-75.16171265
36:13.5,33.22729492,14.47639465,-75.16616821
36:13.5,33.25764465,14.31561279,-74.93630981
36:13.6,33.04179382,14.51301575,-75.17489624
36:13.6,33.29107666,14.46438599,-74.92895508
36:13.6,33.34184265,14.84222412,-75.14631653
36:13.6,33.34509277,14.84254456,-74.75582886
36:13.6,33.34509277,14.84254456,-74.75582886
36:13.6,33.49713135,14.65715027,-74.75445557
36:13.7,33.46875,14.81813049,-74.75001526
36:13.7,33.44230652,14.97932434,-74.51126099
36:13.7,33.23623657,14.7865448,-74.6857605
36:13.7,33.23623657,14.7865448,-74.6857605
36:13.7,33.48358154,14.73770142,-74.6741333
36:13.7,33.57446289,14.56455994,-74.5975647
36:13.8,33.92687988,14.26210022,-74.51161194
36:13.8,34.12528992,14.14483643,-74.6612854
36:13.8,34.21615601,13.97171021,-74.58473206
36:13.8,33.95332336,14.10093689,-74.75035095
36:13.8,33.95332336,14.10093689,-74.75035095
36:13.8,33.78071594,14.0569458,-74.91749573
36:13.9,33.8374939,13.73498535,-74.9263916
36:13.9,34.04615784,13.92799377,-74.4394989
36:13.9,34.39726257,13.62539673,-74.50971985
36:13.9,34.36756897,13.78623962,-74.66146851
36:13.9,34.32907104,13.32771301,-74.68061829
36:13.9,34.32907104,13.32771301,-74.68061829
36:14.0,34.04174805,13.61828613,-74.37321472
36:14.0,34.10488892,13.60620117,-74.21409607
36:14.0,33.92573547,13.95272827,-74.05484009
36:14.0,34.07778931,13.76733398,-74.0534668
36:14.0,34.30587769,13.48921204,-74.05142212
36:14.0,34.30587769,13.48921204,-74.05142212
36:14.1,34.48568726,13.14274597,-74.13258362
36:14.1,34.25823975,13.42092896,-74.05656433
36:14.1,34.20146179,13.74290466,-74.0476532
36:14.1,34.09002686,13.68664551,-74.28996277
36:14.1,34.19509888,13.43299866,-74.21563721
36:14.1,34.19509888,13.43299866,-74.21563721
36:14.2,34.09393311,13.68702698,-73.82139587
36:14.2,34.15576172,13.67480469,-73.81848145
36:14.2,34.09898376,13.99676514,-73.80958557
36:14.2,33.97221375,13.7116394,-73.59292603
36:14.2,33.80726624,13.97766113,-73.43588257
36:14.2,33.80726624,13.97766113,-73.43588257
36:14.3,33.77122498,13.8286438,-73.75561523
36:14.3,33.61849976,14.01397705,-73.83509827
36:14.3,33.49809265,14.03871155,-73.45042419
36:14.3,33.3936615,14.29238892,-73.44664001
36:14.3,33.47035217,14.19978333,-73.36787415
36:14.3,33.72616577,13.76060486,-73.44836426
36:14.4,33.72616577,13.76060486,-73.44836426
36:14.4,33.72177124,13.45092773,-73.38208008
36:14.4,33.78361511,13.43870544,-73.37916565
36:14.4,33.61230469,13.39485168,-73.39012146
36:14.4,33.61230469,13.39485168,-73.39012146
36:14.4,33.48272705,13.80984497,-72.9914093
36:14.5,33.48272705,13.80984497,-72.9914093
36:14.5,33.37130737,13.75357056,-73.23376465
36:14.5,33.70820618,13.53147888,-73.30177307
36:14.5,33.62843323,13.31452942,-73.15805054
36:14.5,33.96536255,13.092453,-73.22607422
36:14.5,33.76435852,13.20944214,-73.38876343
36:14.6,33.82307434,12.88766479,-73.1633606
36:14.6,33.82307434,12.88766479,-73.1633606
36:14.6,33.78768921,12.7387085,-73.40501404
36:14.6,33.56938171,12.62663269,-73.34300232
36:14.6,33.38258362,12.66311646,-73.50791931
36:14.6,33.40002441,12.58293152,-73.11965942
36:14.7,33.66940308,12.06324768,-73.28048706
36:14.7,33.66940308,12.06324768,-73.28048706
36:14.7,33.34602356,12.20477295,-73.2928009
36:14.7,33.38861084,11.96331787,-73.29946899
36:14.7,33.19396973,12.3901825,-73.29415894
36:14.7,33.24356079,12.45866394,-73.05474854
36:14.8,33.22937012,12.53915405,-73.05252075
